название продукта;сылка на продукт;бренд;сылка на картинку;техт для проверки
LEGO City 60290 Конструктор ЛЕГО Город Скейт-парк;https://www.toy.ru/catalog/gorod/lego_city_60290_konstruktor_lego_gorod_skeyt_park/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/724/207_207_10240811ca8906714d1a9f41f2f5b358d/60290_boxprod_v29.jpg;LEGO City 60290 Конструктор ЛЕГО Город Скейт-парк
"LEGO Super Mario 71362 Конструктор ЛЕГО Супер Марио ""Охраняемая крепость"" Дополнительный набор";https://www.toy.ru/catalog/super_mario/lego_super_mario_71362_konstruktor_lego_super_mario_okhranyaemaya_krepost_dopolnitelnyy_nabor/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b30/207_207_10240811ca8906714d1a9f41f2f5b358d/71362_boxprod_v29.jpg;"LEGO Super Mario 71362 Конструктор ЛЕГО Супер Марио""Охраняемая крепость"" Дополнительный набор"
LEGO Classic 11014 Конструктор ЛЕГО Классик Кубики и колёса;https://www.toy.ru/catalog/lego_classic/lego_classic_11014_konstruktor_lego_klassik_kubiki_i_kolyesa/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/80f/207_207_10240811ca8906714d1a9f41f2f5b358d/11014.jpg;LEGO Classic 11014 Конструктор ЛЕГО Классик Кубики и колёса
LEGO Creator 31116 Конструктор ЛЕГО Криэйтор Домик на дереве для сафари;https://www.toy.ru/catalog/krieytor/lego_creator_31116_konstruktor_lego_krieytor_domik_na_dereve_dlya_safari/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/35f/207_207_10240811ca8906714d1a9f41f2f5b358d/31116.jpg;LEGO Creator 31116 Конструктор ЛЕГО Криэйтор Домик на дереведля сафари
LEGO Ninjago 71748 Конструктор ЛЕГО Ниндзяго Морская битва на катамаране;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71748_konstruktor_lego_nindzyago_morskaya_bitva_na_katamarane/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/bbb/207_207_10240811ca8906714d1a9f41f2f5b358d/71748_4.jpg;LEGO Ninjago 71748 Конструктор ЛЕГО Ниндзяго Морская битва накатамаране
LEGO Star Wars 75297 Конструктор ЛЕГО Звездные Войны Истребитель Сопротивления типа X;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75297_konstruktor_lego_zvezdnye_voyny_istrebitel_soprotivleniya_tipa_x/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/470/207_207_10240811ca8906714d1a9f41f2f5b358d/75297.jpg;LEGO Star Wars 75297 Конструктор ЛЕГО Звездные ВойныИстребитель Сопротивления типа X
LEGO DOTs 41922 ЛЕГО Дотс Браслет Стильный кактус;https://www.toy.ru/catalog/dots/lego_dots_41922_lego_dots_braslet_stilnyy_kaktus/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/a4e/207_207_10240811ca8906714d1a9f41f2f5b358d/41922.jpg;LEGO DOTs 41922 ЛЕГО Дотс Браслет Стильный кактус
LEGO Super Heroes 76177 Конструктор ЛЕГО Супер Герои Битва в древней деревне;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76177_konstruktor_lego_super_geroi_bitva_v_drevney_derevne/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/e4e/207_207_10240811ca8906714d1a9f41f2f5b358d/76177.jpg;LEGO Super Heroes 76177 Конструктор ЛЕГО Супер Герои Битва вдревней деревне
LEGO Creator 31113 Конструктор ЛЕГО Криэйтор Транспортировщик гоночных автомобилей;https://www.toy.ru/catalog/krieytor/lego_creator_31113_konstruktor_lego_krieytor_transportirovshchik_gonochnykh_avtomobiley/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/9d1/207_207_10240811ca8906714d1a9f41f2f5b358d/31113.jpg;LEGO Creator 31113 Конструктор ЛЕГО Криэйтор Транспортировщикгоночных автомобилей
LEGO DUPLO 10954 Конструктор ЛЕГО ДУПЛО Поезд с цифрами - учимся считать;https://www.toy.ru/catalog/duplo/lego_duplo_10954_konstruktor_lego_duplo_poezd_s_tsiframi_uchimsya_schitat/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c9a/207_207_10240811ca8906714d1a9f41f2f5b358d/10954_3.jpg;LEGO DUPLO 10954 Конструктор ЛЕГО ДУПЛО Поезд с цифрами -учимся считать
LEGO DUPLO 10847 Конструктор ЛЕГО ДУПЛО Поезд Считай и играй;https://www.toy.ru/catalog/duplo/lego_duplo_10847_lego_duplo_poezd_schitay_i_igray/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/48d/207_207_10240811ca8906714d1a9f41f2f5b358d/10847.jpg;LEGO DUPLO 10847 Конструктор ЛЕГО ДУПЛО Поезд Считай и играй
LEGO Creator 31058 Конструктор ЛЕГО Криэйтор Грозный динозавр;https://www.toy.ru/catalog/krieytor/lego_creator_31058_lego_krieytor_groznyy_dinozavr/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/f06/207_207_10240811ca8906714d1a9f41f2f5b358d/31058.jpg;LEGO Creator 31058 Конструктор ЛЕГО Криэйтор Грозный динозавр
