название продукта;сылка на продукт;бренд;сылка на картинку;техт для проверки
"LEGO Super Mario 71363 Конструктор ЛЕГО Супер Марио Дополнительный набор ""Поки из пустыни""";https://www.toy.ru/catalog/super_mario/lego_super_mario_71363_konstruktor_lego_super_mario_dopolnitelnyy_nabor_poki_iz_pustyni/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/1bd/207_207_10240811ca8906714d1a9f41f2f5b358d/71363.jpg;"LEGO Super Mario 71363 Конструктор ЛЕГО Супер МариоДополнительный набор ""Поки из пустыни"""
"LEGO Super Mario 71365 Конструктор ЛЕГО Супер Марио Доп. набор ""Мощная атака Растения-пираньи""";https://www.toy.ru/catalog/super_mario/lego_super_mario_71365_konstruktor_lego_super_mario_dop_nabor_moshchnaya_ataka_rasteniya_pirani/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5a1/207_207_10240811ca8906714d1a9f41f2f5b358d/71365.jpg;"LEGO Super Mario 71365 Конструктор ЛЕГО Супер Марио Доп. набор""Мощная атака Растения-пираньи"""
LEGO DUPLO 10909 Конструктор ЛЕГО ДУПЛО Шкатулка-сердечко;https://www.toy.ru/catalog/duplo/lego_duplo_10909_konstruktor_lego_duplo_shkatulka_serdechko/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/294/207_207_10240811ca8906714d1a9f41f2f5b358d/10909.jpg;LEGO DUPLO 10909 Конструктор ЛЕГО ДУПЛО Шкатулка-сердечко
"LEGO Super Mario 71367 Конструктор ЛЕГО Супер Марио Дополнительный набор ""Дом Марио и Йоши""";https://www.toy.ru/catalog/super_mario/lego_super_mario_71367_konstruktor_lego_super_mario_dopolnitelnyy_nabor_dom_mario_i_yoshi/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/80b/207_207_10240811ca8906714d1a9f41f2f5b358d/71367.jpg;"LEGO Super Mario 71367 Конструктор ЛЕГО Супер МариоДополнительный набор ""Дом Марио и Йоши"""
"LEGO Super Mario 71368 Конструктор ЛЕГО Супер Марио Доп. набор ""Погоня за сокровищами Тоада""";https://www.toy.ru/catalog/super_mario/lego_super_mario_71368_konstruktor_lego_super_mario_dop_nabor_pogonya_za_sokrovishchami_toada/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/06d/207_207_10240811ca8906714d1a9f41f2f5b358d/71368.jpg;"LEGO Super Mario 71368 Конструктор ЛЕГО Супер Марио Доп. набор""Погоня за сокровищами Тоада"""
"LEGO Super Mario 71370 Конструктор ЛЕГО Супер Марио Набор усилений ""Марио-пожарный""";https://www.toy.ru/catalog/super_mario/lego_super_mario_71370_konstruktor_lego_super_mario_nabor_usileniy_mario_pozharnyy/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c1a/207_207_10240811ca8906714d1a9f41f2f5b358d/71370.jpg;"LEGO Super Mario 71370 Конструктор ЛЕГО Супер Марио Наборусилений ""Марио-пожарный"""
LEGO Super Heroes 76174 Конструктор ЛЕГО Супер Герои Монстр-трак Человека-Паука против Мистерио;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76174_konstruktor_lego_super_geroi_monstr_trak_cheloveka_pauka_protiv_misterio/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/076/207_207_10240811ca8906714d1a9f41f2f5b358d/76174.jpg;LEGO Super Heroes 76174 Конструктор ЛЕГО Супер ГероиМонстр-трак Человека-Паука против Мистерио
LEGO DUPLO 10949 Конструктор ЛЕГО ДУПЛО Уход за животными на ферме;https://www.toy.ru/catalog/duplo/lego_duplo_10949_konstruktor_lego_duplo_ukhod_za_zhivotnymi_na_ferme/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/0b3/207_207_10240811ca8906714d1a9f41f2f5b358d/10941.jpg;LEGO DUPLO 10949 Конструктор ЛЕГО ДУПЛО Уход за животными наферме
LEGO DUPLO 10950 Конструктор ЛЕГО ДУПЛО Фермерский трактор и животные;https://www.toy.ru/catalog/duplo/lego_duplo_10950_konstruktor_lego_duplo_fermerskiy_traktor_i_zhivotnye/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/bce/207_207_10240811ca8906714d1a9f41f2f5b358d/10950.jpg;LEGO DUPLO 10950 Конструктор ЛЕГО ДУПЛО Фермерский трактор иживотные
LEGO DUPLO 10951 Конструктор ЛЕГО ДУПЛО Конюшня для лошади и пони;https://www.toy.ru/catalog/duplo/lego_duplo_10951_konstruktor_lego_duplo_konyushnya_dlya_loshadi_i_poni/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/ddb/207_207_10240811ca8906714d1a9f41f2f5b358d/10951.jpg;LEGO DUPLO 10951 Конструктор ЛЕГО ДУПЛО Конюшня для лошади ипони
LEGO DUPLO 10952 Конструктор ЛЕГО ДУПЛО Фермерский трактор, домик и животные;https://www.toy.ru/catalog/duplo/lego_duplo_10952_konstruktor_lego_duplo_fermerskiy_traktor_domik_i_zhivotnye/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/dd7/207_207_10240811ca8906714d1a9f41f2f5b358d/10952.jpg;LEGO DUPLO 10952 Конструктор ЛЕГО ДУПЛО Фермерский трактор,домик и животные
LEGO Jurassic World 75940 Конструктор ЛЕГО Мир Юрского Периода Побег галлимима и птеранодона;https://www.toy.ru/catalog/mir_yurskogo_perioda-jur/lego_jurassic_world_75940_konstruktor_lego_mir_yurskogo_perioda_pobeg_gallimima_i_pteranodona/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/180/207_207_10240811ca8906714d1a9f41f2f5b358d/75940.jpg;LEGO Jurassic World 75940 Конструктор ЛЕГО Мир Юрского ПериодаПобег галлимима и птеранодона
LEGO VIDIYO 43103 Конструктор ЛЕГО Битбокс Пирата Панка;https://www.toy.ru/catalog/vidiyo/lego_vidiyo_43103_konstruktor_lego_bitboks_pirata_panka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/035/207_207_10240811ca8906714d1a9f41f2f5b358d/42103.jpg;LEGO VIDIYO 43103 Конструктор ЛЕГО Битбокс Пирата Панка
LEGO VIDIYO 43106 Конструктор ЛЕГО Битбокс Диджея Единорога;https://www.toy.ru/catalog/vidiyo/lego_vidiyo_43106_konstruktor_lego_bitboks_didzheya_edinoroga/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/bfe/207_207_10240811ca8906714d1a9f41f2f5b358d/43106.jpg;LEGO VIDIYO 43106 Конструктор ЛЕГО Битбокс Диджея Единорога
LEGO VIDIYO 43107 Конструктор ЛЕГО Битбокс Хип-Хоп Робота;https://www.toy.ru/catalog/vidiyo/lego_vidiyo_43107_konstruktor_lego_bitboks_khip_khop_robota/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/719/207_207_10240811ca8906714d1a9f41f2f5b358d/43107.jpg;LEGO VIDIYO 43107 Конструктор ЛЕГО Битбокс Хип-Хоп Робота
LEGO Super Heroes 76170 Конструктор ЛЕГО Супер Герои Железный Человек против Таноса;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76170_konstruktor_lego_super_geroi_zheleznyy_chelovek_protiv_tanosa/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/4e8/207_207_10240811ca8906714d1a9f41f2f5b358d/76170.jpg;LEGO Super Heroes 76170 Конструктор ЛЕГО Супер Герои ЖелезныйЧеловек против Таноса
LEGO Ninjago 71731 Конструктор ЛЕГО Ниндзяго Легендарные битвы: Зейн против Ниндроида;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71731_konstruktor_lego_nindzyago_legendarnye_bitvy_zeyn_protiv_nindroida/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/8d6/207_207_10240811ca8906714d1a9f41f2f5b358d/71731.jpg;LEGO Ninjago 71731 Конструктор ЛЕГО Ниндзяго Легендарныебитвы: Зейн против Ниндроида
LEGO Ninjago 71732 Конструктор ЛЕГО Ниндзяго Легендарные битвы: Джей против воина-серпентина;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71732_konstruktor_lego_nindzyago_legendarnye_bitvy_dzhey_protiv_voina_serpentina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/d8f/207_207_10240811ca8906714d1a9f41f2f5b358d/71732.jpg;LEGO Ninjago 71732 Конструктор ЛЕГО Ниндзяго Легендарныебитвы: Джей против воина-серпентина
LEGO Ninjago 71733 Конструктор ЛЕГО Ниндзяго Легендарные битвы: Коул против Призрачного воина;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71733_konstruktor_lego_nindzyago_legendarnye_bitvy_koul_protiv_prizrachnogo_voina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c9b/207_207_10240811ca8906714d1a9f41f2f5b358d/71733.jpg;LEGO Ninjago 71733 Конструктор ЛЕГО Ниндзяго Легендарныебитвы: Коул против Призрачного воина
LEGO Ninjago 71735 Конструктор ЛЕГО Ниндзяго Турнир стихий;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71735_konstruktor_lego_nindzyago_turnir_stikhiy/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/092/207_207_10240811ca8906714d1a9f41f2f5b358d/71735.jpg;LEGO Ninjago 71735 Конструктор ЛЕГО Ниндзяго Турнир стихий
LEGO City 60280 Конструктор ЛЕГО Город Пожарная машина с лестницей;https://www.toy.ru/catalog/gorod/lego_city_60280_konstruktor_lego_gorod_pozharnaya_mashina_s_lestnitsey/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/fb5/207_207_10240811ca8906714d1a9f41f2f5b358d/60280.jpg;LEGO City 60280 Конструктор ЛЕГО Город Пожарная машина слестницей
LEGO DOTs 41933 ЛЕГО Дотс Браслет Музыка;https://www.toy.ru/catalog/dots/lego_dots_41933_lego_dots_braslet_muzyka/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/251/207_207_10240811ca8906714d1a9f41f2f5b358d/41933.jpg;LEGO DOTs 41933 ЛЕГО Дотс Браслет Музыка
LEGO City 60291 Конструктор ЛЕГО Город Современный дом для семьи;https://www.toy.ru/catalog/gorod/lego_city_60291_konstruktor_lego_gorod_sovremennyy_dom_dlya_semi/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/54f/207_207_10240811ca8906714d1a9f41f2f5b358d/60291.jpg;LEGO City 60291 Конструктор ЛЕГО Город Современный дом длясемьи
LEGO City 60304 Конструктор ЛЕГО Город City Town Перекрёсток;https://www.toy.ru/catalog/gorod/lego_city_60304_konstruktor_lego_gorod_city_town_perekryestok/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/4f1/207_207_10240811ca8906714d1a9f41f2f5b358d/60304.jpg;LEGO City 60304 Конструктор ЛЕГО Город City Town Перекрёсток
LEGO Super Heroes 76176 Конструктор ЛЕГО Супер Герои Побег от Десяти колец;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76176_konstruktor_lego_super_geroi_pobeg_ot_desyati_kolets/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/79b/207_207_10240811ca8906714d1a9f41f2f5b358d/76176.jpg;LEGO Super Heroes 76176 Конструктор ЛЕГО Супер Герои Побег отДесяти колец
LEGO Creator 31111 Конструктор ЛЕГО Криэйтор Кибердрон;https://www.toy.ru/catalog/krieytor/lego_creator_31111_konstruktor_lego_krieytor_kiberdron/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c47/207_207_10240811ca8906714d1a9f41f2f5b358d/31111.jpg;LEGO Creator 31111 Конструктор ЛЕГО Криэйтор Кибердрон
